'ModifiedCartan.assignmentPart_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cpartition_of_assignment' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.harnack_defect_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.envelope_coefficient_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.envelope_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.envelope_lemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.coefficients_zero_of_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_iteratedDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_derivatives_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.moments_zero_of_exponentialSum_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_iff_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_iff_finite_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_grouping' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_iff_grouped' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.moment_grouping' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialSum_zero_iff_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialOrbit_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialOrbit_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exponentialOrbit_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exp_negative_growth_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.uniform_zero_of_exp_negative_growth' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.unbounded_real_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.escapesOnCompact_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.escapesOnCompact_not_locallyBounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.not_locallyBounded_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphicLimitOrEscape_limit_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphicLimitOrEscape_escape_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphicLimitOrEscape_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphic_limit_or_escape_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_holomorphic_limit_or_escape' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.unitFamily_quotient_extraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_zero_subsequence_of_frequently_small' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'ModifiedCartan.reciprocal_failure_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.unit_failure_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.nonzero_surrounding_circle_in_open' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compact_failure_points_avoid_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_escape_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_div_nat' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_unit_failure_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_pole_derivative_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mem_preorderClass' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mem_preorderClass_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.preorderClass_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exists_preorderMaximal_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mem_maximalClasses' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.preorderMaximal_of_mem_class' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClass_contains_old' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_eq_of_common' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_injection' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_card_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.old_maximalClass_survives' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.maximalClasses_bijection' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.old_maximals_incomparable' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.finite_preorder_stabilization' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.five_two_classes_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.five_partition_from_cartan_alternative' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphicUnit_neg_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.fiveCounterexample_units' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.fiveCounterexample_zeroSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.fiveCounterexample_grows_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.fiveCounterexample_vanishing_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.fiveCounterexample_no_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
